rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2014;"DOMOV";38;"Jelínek Martin";35;"BPI";"BEZPP";126;1.86;"";""
2010;"TOP 09 a nezávislí";25;"Pražan Michal";21;"TOP 09";"BEZPP";1821;2.37;22;""
2006;"Česká str.sociálně demokrat.";27;"Dobrý Petr Mgr.";55;"ČSSD";"ČSSD";4354;2.55;20;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";18;"Hála Tomáš Ing.";66;"NK";"BEZPP";1048;2.28;16;""
2002;"Unie svobody-Demokratická unie";10;"Slavík Jaroslav Ing. ";56;"US-DEU";"US-DEU";1068;2.40;"";""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";22;"Skočdopolová Zálabská Zuzana Mgr.";28;"NK";"BEZPP";1037;2.26;20;""
2014;"Pard. pro lidi a Souk SsČR,PPL";13;"Sýkora Jiří";64;"PPL";"BEZPP";688;2.48;"";""
2010;"SDRUŽENÍ PRO PARDUBICE";37;"Sýkora Eduard Ing.";47;"NK";"BEZPP";4286;2.04;28;""
2014;"Česká str.sociálně demokrat.";31;"Borská Eva Bc.";52;"ČSSD";"ČSSD";2524;2.40;25;""
2002;"Občanská demokratická strana";37;"Štěpánek Vítězslav Mgr. ";44;"ODS";"ODS";7438;2.19;21;""
2014;"Strana zelených";24;"Kolomazník Jan";24;"Zelení";"Zelení";612;2.56;"";""
2014;"PARDUBÁCI,Sdružení ČSR, NK";12;"Potůček Tomáš Bc.";43;"NK";"BEZPP";1645;2.65;9;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";4;"Kovář Jiří Ing.";54;"ALTER";"BEZPP";515;3.77;"";""
2006;"Česká str.sociálně demokrat.";15;"Morávek Jacek Mgr.";32;"ČSSD";"ČSSD";4846;2.84;3;*
2010;"Koalice pro Pardubice";32;"Váňa Miroslav";22;"KDU-ČSL";"KDU-ČSL";878;1.93;"";""
2010;"Zelená pro Pardubice (SZ, NK)";33;"Janošová Renata";48;"SZ";"SZ";462;1.89;"";""
2014;"Sdružení pro Pard. - SNK ED,NK";22;"Žemlička Karel Mgr. Bc.";56;"NK";"BEZPP";2224;2.73;18;""
2018;"NAŠE PARDUBICE";31;"Hrnčíř Petr Ing.";53;"NK";"BEZPP";1117;2.33;"";""
2010;"Občanská demokratická strana";5;"Tichý Milan Lic.";54;"ODS";"ODS";4045;2.49;3;""
2018;"Sdružení pro Pardubice";15;"Šamánek Radko Ing.";63;"SNK ED";"SNK ED";1324;2.21;12;""
2014;"Úsvit přímé demokracie";25;"Valenta Jan";37;"Úsvit";"BEZPP";282;2.22;"";""
2002;"Sdružení pro Pardubice";12;"Norek Karel MVDr. ";59;"NK";"BEZPP";3895;2.64;5;""
2014;"DOMOV";33;"Novák Jiří";28;"BPI";"BEZPP";133;1.97;"";""
2010;"Česká str.sociálně demokrat.";34;"Petružálková Renata Mgr.";42;"ČSSD";"ČSSD";5713;2.47;23;""
2018;"Strana soukromníků ČR";17;"Sieglová Veronika";36;"Soukromníci";"BEZPP";87;2.11;"";""
2010;"Věci veřejné (VV)";36;"Jeřábková Alena";48;"VV";"BEZPP";711;2.50;"";""
2002;"Unie svobody-Demokratická unie";34;"Lukáš Vladimír  ";58;"US-DEU";"BEZPP";794;1.79;"";""
2010;"Občanská demokratická strana";9;"Franc Petr Ing.";30;"ODS";"ODS";4599;2.83;6;*
2018;"Česká pirátská strana";24;"Řehůřková Anna";21;"Piráti";"Zelení";2729;2.50;19;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";24;"Hypšová Kristýna Mgr.";31;"ČSR";"BEZPP";1470;2.36;21;""
2006;"Komunistická str.Čech a Moravy";36;"Filip Lukáš Bc.";26;"KSČM";"BEZPP";2774;2.47;32;""
2018;"Pardubáci společně";6;"Nevečeřal Pavel";66;"PATRIOTI";"BEZPP";2270;2.60;8;""
2006;"Komunistická str.Čech a Moravy";14;"Jirsa Miroslav";57;"KSČM";"KSČM";2867;2.56;10;""
