rok;kandidatni_strana;poradove_cislo;jmeno;vek;navrhujici_strana;politika_prislusnost;pocet_hlasu_abs;pocet_hlasu_perc;poradi_zvol_nahradnika;mandat
2014;"Občanská demokratická strana";34;"Sedláčková Kateřina Ing.";35;"ODS";"ODS";1740;2.31;30;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";2;"Kristl Jan Ing.";54;"NK";"BEZPP";1628;3.55;2;""
2014;"DOMOV";30;"Březina František Ing.";50;"BPI";"BEZPP";146;2.16;"";""
2002;"Komunistická str.Čech a Moravy";37;"Chramosta František Ing. ";57;"KSČM";"BEZPP";3493;2.39;30;""
2006;"Sdružení pro Pardubice";29;"Pösl Milan Mgr.";44;"NK";"BEZPP";4344;2.32;21;""
2018;"Pardubice pro lidi";28;"Mrlinová Kristina";44;"PPL";"BEZPP";962;2.38;"";""
2014;"Občanská demokratická strana";5;"Haas Karel Mgr.";41;"ODS";"ODS";2455;3.26;3;*
2014;"Komunistická str.Čech a Moravy";8;"Tatíčková Petra";41;"KSČM";"KSČM";1961;2.61;4;""
2002;"Naděje";2;"Hlaváč Ondřej Ing. ";27;"N";"N";1335;4.47;"";""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";21;"Zelenková Milena PaedDr.";50;"Nestran.";"BEZPP";1482;2.85;8;""
2014;"NEZÁVISLÍ";9;"Dušková Radka";49;"NEZ";"BEZPP";229;2.74;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";21;"Sodomková Olga";60;"PPL";"PPL";719;2.60;"";""
2010;"Česká str.sociálně demokrat.";17;"Pšikal Jan Ing. Ph.D.";28;"ČSSD";"ČSSD";6091;2.63;6;""
2014;"ANO 2011";23;"Coufal Libor";30;"ANO";"BEZPP";4663;2.52;12;""
2014;"Svobodní, Strana svobod.občanů";13;"Janda Miloslav";39;"Svobodní";"Svobodní";773;2.54;"";""
2002;"Česká str.sociálně demokrat.";29;"Malá Eva  ";64;"ČSSD";"ČSSD";3726;2.34;22;""
2002;"Komunistická str.Čech a Moravy";31;"Jirků Josef RSDr. ";56;"KSČM";"KSČM";3597;2.46;24;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";11;"Strádal Oktavián doc. Ing. Ph.D.";63;"KDU-ČSL";"BEZPP";1207;2.76;11;""
2018;"Pardubáci společně";20;"Roček David Ing.";46;"VČ";"BEZPP";2062;2.36;16;""
2006;"Česká str.sociálně demokrat.";16;"Sklenářová Monika";39;"ČSSD";"ČSSD";4483;2.63;9;""
2014;"Komunistická str.Čech a Moravy";22;"Dostálová Milena";59;"KSČM";"BEZPP";1886;2.51;18;""
2006;"Komunistická str.Čech a Moravy";2;"Jedlička Jan Ing.";55;"KSČM";"BEZPP";3165;2.82;2;*
2018;"Občanská demokratická strana";9;"Příhoda Leoš Ing.";35;"ODS";"ODS";3815;2.69;3;""
2014;"ZEMANOVCI, Sdružení SPO, NK";4;"Prachař Otakar prof. RNDr. CSc.";83;"SPO";"SPO";95;5.89;"";""
2002;"Komunistická str.Čech a Moravy";3;"Jedlička Jan Ing. ";51;"KSČM";"BEZPP";4055;2.77;4;*
2010;"PARDUBÁCI";31;"Šeda Bohdan Mgr.";36;"ČSR";"BEZPP";2458;2.28;26;""
2002;"Unie svobody-Demokratická unie";29;"Ferjenčík Ludevít  ";69;"US-DEU";"US-DEU";881;1.98;"";""
2010;"TOP 09 a nezávislí";26;"Horák Jan";28;"TOP 09";"TOP 09";1774;2.31;23;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";24;"Kvapilová Lenka";64;"SPD";"BEZPP";946;2.50;"";""
2018;"Koalice pro Pardubice";18;"Bednář Josef Ing.";59;"KDU-ČSL";"BEZPP";1741;2.49;15;""
2006;"Komunistická str.Čech a Moravy";7;"Hofman Jiří";51;"KSČM";"KSČM";2956;2.64;3;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";29;"Špryncová Monika Ing.";33;"ČSR";"BEZPP";1398;2.25;26;""
2018;"Občanská demokratická strana";38;"Juchelka Petr Ing.";48;"ODS";"ODS";2957;2.08;31;""
2014;"Naše Pardubice, FairPlay,NK";36;"Pátek Jaroslav Mgr.";76;"NK";"BEZPP";497;1.98;"";""
2014;"Komunistická str.Čech a Moravy";38;"Jeništová Marie";62;"KSČM";"KSČM";1747;2.33;34;""
2018;"ANO 2011";34;"Kožíšek Pavel";44;"ANO";"ANO";6227;2.40;21;""
2010;"Občanská demokratická strana";31;"Kolda Petr";63;"ODS";"ODS";3812;2.34;24;""
2002;"Občanská demokratická strana";6;"Stříteský Václav Ing. ";56;"ODS";"ODS";9550;2.81;7;*
2002;"Česká str.sociálně demokrat.";12;"Doležal Ladislav  ";55;"ČSSD";"ČSSD";4164;2.62;6;""
2002;"Komunistická str.Čech a Moravy";14;"Domin Ivo  ";29;"KSČM";"KSČM";3794;2.60;7;""
2014;"ZEMANOVCI, Sdružení SPO, NK";11;"Stehnová Jaroslava Ing.";51;"NK";"BEZPP";73;4.52;"";""
2014;"Občanská demokratická strana";10;"Uhrová Libuše";79;"ODS";"ODS";1866;2.48;8;""
2010;"SDRUŽENÍ PRO PARDUBICE";21;"Kubrycht Martin Mgr.";57;"NK";"BEZPP";5595;2.67;13;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";23;"Roškota Pavel";44;"SPD";"BEZPP";963;2.55;"";""
2018;"Komunistická str.Čech a Moravy";38;"Kubínková Zdenka";69;"KSČM";"KSČM";1177;2.35;36;""
2014;"TOP 09 a nezávislí";36;"Koupil Jan RNDr. Ph.D.";35;"TOP 09";"TOP 09";1200;2.25;33;""
2014;"ANO 2011";11;"Shejbal Václav";61;"ANO";"BEZPP";4709;2.54;11;*
2018;"Pardubice pro lidi";7;"Jirout Josef";46;"PPL";"PPL";1136;2.81;"";""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";12;"Horská Miluše Mgr.";55;"Nestran.";"BEZPP";1452;3.32;2;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";16;"Endlerová Marie Ing.";65;"KDU-ČSL";"KDU-ČSL";1180;2.27;16;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";27;"Ipser Ondřej";27;"NK";"BEZPP";1050;2.29;25;""
2018;"Pardubáci společně";23;"Rejda Jan";45;"VČ";"BEZPP";2070;2.37;19;""
2018;"PRO Zdraví a Sport";29;"Lebduška Miroslav";43;"PRO Zdraví";"BEZPP";141;2.08;"";""
2010;"Komunistická str.Čech a Moravy";20;"Kutílková Lenka";54;"KSČM";"BEZPP";2600;2.52;16;""
2010;"SDRUŽENÍ PRO PARDUBICE";6;"Koláček Michal Ing.";46;"SNK ED";"SNK ED";5711;2.73;8;*
2014;"Komunistická str.Čech a Moravy";10;"Krupková Helena";49;"KSČM";"KSČM";1939;2.58;6;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";16;"Michalec Jan";24;"ALTER";"BEZPP";344;2.52;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";30;"Chaloupková Jana Ing.";28;"PPL";"PPL";635;2.29;"";""
2018;"ČSSD a nestran. pro Pardubice";22;"Dračínská Loosová Martina";40;"ČSSD";"ČSSD";1361;2.39;20;""
2010;"TOP 09 a nezávislí";11;"Kocanda Martin PhDr.";36;"TOP 09";"TOP 09";2371;3.09;3;""
2014;"Koal. pro Pard., KDU-ČSL,NESTR";3;"Hubálková Marie Mgr.";48;"KDU-ČSL";"KDU-ČSL";1544;3.53;2;*
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";5;"Mareš Miroslav Ing.";48;"NK";"BEZPP";1374;2.99;6;""
2006;"Česká str.sociálně demokrat.";4;"Škařupa Zdenek Bc.";45;"ČSSD";"ČSSD";4576;2.68;5;*
2018;"PRO Zdraví a Sport";28;"Šoltová Klára";43;"PRO Zdraví";"BEZPP";126;1.86;"";""
2002;"Naděje";15;"Hlaváč Libor  ";25;"N";"BEZPP";790;2.64;"";""
2002;"Komunistická str.Čech a Moravy";22;"Krejčíková Anna  ";47;"KSČM";"KSČM";3692;2.53;15;""
2006;"Sdružení pro Pardubice";6;"Vlasák Libor Ing.";42;"NK";"BEZPP";4964;2.65;8;*
2006;"Sdružení pro Pardubice";18;"Troníčková Andrea PhDr.";32;"NK";"BEZPP";5124;2.74;10;""
2010;"PARDUBÁCI";2;"Sodomková Klára Mgr.";32;"ČSR";"BEZPP";3849;3.57;4;*
2014;"TOP 09 a nezávislí";19;"Šušlík Roman";59;"TOP 09";"TOP 09";1264;2.37;16;""
2014;"Občanská demokratická strana";3;"Krejčíř Alexandr Ing.";54;"ODS";"ODS";2278;3.02;3;""
2018;"ČSSD a nestran. pro Pardubice";2;"Rozinek Jiří Ing.";65;"ČSSD";"ČSSD";2086;3.67;2;*
2002;"Komunistická str.Čech a Moravy";4;"Mareš Zdeněk Ing. ";70;"KSČM";"KSČM";3980;2.72;5;*
2002;"Česká str.sociálně demokrat.";17;"Kolman Petr  ";58;"ČSSD";"ČSSD";4077;2.56;10;""
2018;"Sdružení pro Pardubice";17;"Bradna Josef Ing.";61;"NK";"BEZPP";1295;2.16;14;""
2006;"Občanská demokratická strana";10;"Petružálek Jiří";57;"ODS";"ODS";9495;2.55;10;*
2014;"PARDUBÁCI,Sdružení ČSR, NK";30;"Zemánková Aneta";31;"ČSR";"BEZPP";1357;2.18;27;""
2014;"TOP 09 a nezávislí";23;"Sychra Marek MUDr.";49;"NK";"BEZPP";1428;2.68;20;""
2018;"NAŠE PARDUBICE";12;"Metelka Jan Mgr.";34;"NK";"BEZPP";1331;2.77;"";""
2010;"Občanská demokratická strana";24;"Haas Karel Mgr.";37;"ODS";"ODS";4468;2.75;17;""
2014;"ANO 2011";30;"Menšík Dalibor Mgr.";42;"ANO";"ANO";4529;2.44;19;""
2018;"Koalice pro Pardubice";21;"Srdínková Petra Mgr.";38;"TOP 09";"TOP 09";1627;2.33;18;""
2002;"Unie svobody-Demokratická unie";1;"Slezák Libor Ing. CSc.";49;"US-DEU";"US-DEU";2890;6.51;"";""
2006;"Zelená pro Pardubice";27;"Zahálka Milan Ing.";49;"NEZ";"BEZPP";1706;2.21;24;""
2014;"Naše Pardubice, FairPlay,NK";34;"Svoboda Mojmír";48;"NK";"BEZPP";492;1.96;"";""
2010;"Česká str.sociálně demokrat.";33;"Bittner Rostislav";40;"ČSSD";"ČSSD";5634;2.43;22;""
2014;"DOMOV";14;"Kraus Daniel";29;"BPI";"BEZPP";156;2.31;"";""
2018;"Sdružení pro Pardubice";39;"Královcová Lenka Bc.";46;"NK";"BEZPP";1127;1.88;36;""
2010;"SDRUŽENÍ PRO PARDUBICE";12;"Erban Evžen";65;"NK";"BEZPP";5947;2.84;6;*
2018;"Česká pirátská strana";35;"Seiner Petr";33;"Piráti";"BEZPP";2469;2.26;30;""
2002;"Občanská demokratická strana";32;"Gruntorád Otomar  ";61;"ODS";"ODS";7960;2.34;16;""
2014;"Česká str.sociálně demokrat.";25;"Látalová Jakubcová Klára Mgr.";32;"ČSSD";"ČSSD";2654;2.52;19;""
2010;"Koalice pro Pardubice";30;"Šamánek Radko Ing.";55;"KDU-ČSL";"SNK ED";935;2.05;"";""
2002;"NEZÁVISLÍ";37;"Poloková Jana  ";43;"NEZ";"BEZPP";552;1.65;"";""
2018;"Česká pirátská strana";27;"Srb Ondřej Ing.";30;"Piráti";"BEZPP";2694;2.47;22;""
2018;"Sdružení pro Pardubice";2;"Fraňková Štěpánka MUDr.";53;"SNK ED";"SNK ED";2888;4.83;1;*
2010;"Věci veřejné (VV)";14;"Švajcr Martin";22;"VV";"VV";704;2.48;"";""
2002;"Unie svobody-Demokratická unie";23;"Novák Jaroslav  ";56;"US-DEU";"US-DEU";925;2.08;"";""
2010;"TOP 09 a nezávislí";18;"Kalousek Tomáš";28;"TOP 09";"TOP 09";1883;2.45;16;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";26;"Kollmanová Petra";44;"SPD";"BEZPP";931;2.46;"";""
2002;"Komunistická str.Čech a Moravy";35;"Starý Karel  ";45;"KSČM";"KSČM";3627;2.48;28;""
2002;"Nezávislí Pardubičtí kandidáti";19;"Šulc Přemysl  ";55;"SV SOS";"BEZPP";273;2.50;"";""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";10;"Vraný Michal";22;"ALTER";"BEZPP";569;4.16;"";""
2006;"Komunistická str.Čech a Moravy";26;"Rejl Josef JUDr.";58;"KSČM";"KSČM";2798;2.49;22;""
2018;"Pardubáci společně";29;"Vařechová Leona RNDr.";56;"STAN";"BEZPP";2016;2.31;25;""
2014;"ANO 2011";36;"Prusáková Petra Bc.";38;"ANO";"ANO";4137;2.23;25;""
2018;"Koalice pro Pardubice";20;"Demlová Hana Ing.";75;"KDU-ČSL";"KDU-ČSL";1768;2.53;17;""
2018;"ANO 2011";11;"Menšík Jaroslav Ing. arch.";67;"ANO";"ANO";6904;2.66;11;*
2018;"NAŠE PARDUBICE";22;"Moravcová Petra";21;"NK";"BEZPP";1131;2.35;"";""
2018;"Česká pirátská strana";14;"Bečka Dominik Bc.";27;"Piráti";"Piráti";2808;2.57;9;""
2018;"Svob.a př.dem.-T.Okamura (SPD)";27;"Košťál Václav";58;"SPD";"BEZPP";941;2.49;"";""
2006;"Komunistická str.Čech a Moravy";20;"Růžičková Jiřina";59;"KSČM";"KSČM";2808;2.50;16;""
2018;"Občanská demokratická strana";28;"Šošková Severinová Markéta";38;"ODS";"ODS";3551;2.50;21;""
2018;"ANO 2011";8;"Dolečková Ivana";57;"ANO";"ANO";6856;2.64;8;*
2018;"Pardubice pro lidi";9;"Procházka Jan Mgr.";37;"PPL";"BEZPP";1096;2.71;"";""
2010;"Zelená pro Pardubice (SZ, NK)";10;"Fuka Jan Ing. DiS.";31;"SZ";"BEZPP";655;2.68;"";""
2010;"Koalice pro Pardubice";2;"Peřinová Drahomíra MUDr.";57;"Nestran.";"BEZPP";2536;5.57;"";""
2010;"Koalice pro Pardubice";21;"Čevorová Anna";53;"Nestran.";"BEZPP";921;2.02;"";""
2014;"Svobodní, Strana svobod.občanů";27;"Engelmajer Jakub Mgr.";28;"Svobodní";"BEZPP";764;2.51;"";""
2010;"Koalice pro Pardubice";10;"Krejzková Taťána MUDr.";34;"KDU-ČSL";"BEZPP";1250;2.74;"";""
2010;"Suverenita-blok J.Bobošíkové";32;"Kopa David";39;"Suveren.";"BEZPP";484;2.50;"";""
2018;"NAŠE PARDUBICE";7;"Kosová Kateřina Bc.";26;"NK";"BEZPP";1333;2.78;"";""
2002;"NEZÁVISLÍ";26;"Zahálka Milan Ing. ";45;"NEZ";"BEZPP";626;1.87;"";""
2018;"PRO Zdraví a Sport";33;"Doleželová Jaroslava";74;"PRO Zdraví";"BEZPP";112;1.65;"";""
2002;"Naděje";8;"Rothanzl Karel  ";24;"N";"BEZPP";853;2.86;"";""
2006;"Zelená pro Pardubice";18;"Burian Luděk Mgr.";41;"NEZ";"BEZPP";2135;2.77;15;""
2014;"NEZÁVISLÍ";11;"Zajícová Vladimíra";37;"NEZ";"BEZPP";192;2.30;"";""
2014;"Česká str.sociálně demokrat.";30;"Malý Libor Mgr.";53;"ČSSD";"ČSSD";2561;2.43;24;""
2018;"Sdružení pro Pardubice";19;"Cihlo Jaroslav Ing.";69;"NK";"BEZPP";1399;2.34;16;""
2014;"Úsvit přímé demokracie";1;"Němec Vítězslav Ing.";54;"Úsvit";"BEZPP";621;4.90;"";""
2006;"Zelená pro Pardubice";21;"Blahník Roman";20;"SZ";"SZ";1663;2.16;18;""
2010;"Strana Práv Občanů ZEMANOVCI";15;"Kuželová Eva Lic.";55;"SPOZ";"BEZPP";399;2.23;"";""
2010;"Občanská demokratická strana";30;"Přibyl Karel Ing.";64;"ODS";"ODS";3906;2.40;23;""
2010;"Suverenita-blok J.Bobošíkové";10;"Škop Jiří";66;"Suveren.";"BEZPP";469;2.42;"";""
2014;"TOP 09 a nezávislí";30;"Petrus Jan";33;"TOP 09";"TOP 09";1186;2.22;27;""
2014;"NEZÁVISLÍ";8;"Dušek Martin Bc. DiS.";33;"NEZ";"BEZPP";236;2.82;"";""
2010;"TOP 09 a nezávislí";20;"Vanžura Jan";64;"TOP 09";"TOP 09";1769;2.30;18;""
2006;"Zelená pro Pardubice";39;"Štefaničková Zuzana";41;"NEZ";"BEZPP";1508;1.95;36;""
2002;"NEZÁVISLÍ";24;"Matrka Aleš Mgr. ";48;"NEZ";"BEZPP";930;2.78;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";4;"Nacu Petra Ing. arch.";43;"PPL";"PPL";1109;4.01;"";""
2014;"Občanská demokratická strana";13;"Baťa Miroslav Ing.";69;"ODS";"ODS";1919;2.55;10;""
2010;"Strana Práv Občanů ZEMANOVCI";8;"Rejman Petr";56;"SPOZ";"SPOZ";471;2.63;"";""
2014;"ANO 2011";6;"Tomková Lea Ing.";61;"ANO";"ANO";5112;2.76;7;*
2002;"Unie svobody-Demokratická unie";35;"Šiblo Václav  ";45;"US-DEU";"BEZPP";855;1.92;"";""
2002;"Komunistická str.Čech a Moravy";23;"Kurdi František  ";54;"KSČM";"KSČM";3671;2.51;16;""
2002;"Křesť.demokr.unie-Čs.str.lid.";35;"Eichler Josef RNDr. CSc.";65;"KDU-ČSL";"BEZPP";1119;2.32;33;""
2010;"Věci veřejné (VV)";26;"Herman Jan";29;"VV";"BEZPP";657;2.31;"";""
2010;"Věci veřejné (VV)";8;"Málek Michal";38;"VV";"VV";814;2.87;"";""
2018;"Občanská demokratická strana";8;"Gazdíková Tereza Ing.";25;"ODS";"ODS";3731;2.63;2;""
2002;"Unie svobody-Demokratická unie";33;"Popová Marta JUDr. ";76;"US-DEU";"US-DEU";812;1.83;"";""
2006;"Česká str.sociálně demokrat.";3;"Broulíková Slavěna";58;"ČSSD";"ČSSD";4751;2.79;4;*
2014;"Úsvit přímé demokracie";13;"Ledvinová Zuzana";56;"Úsvit";"BEZPP";336;2.65;"";""
2014;"Česká str.sociálně demokrat.";24;"Šimonová Helena";57;"ČSSD";"ČSSD";2609;2.48;18;""
2014;"Naše Pardubice, FairPlay,NK";4;"Řeháček Jan  DiS.";42;"NK";"BEZPP";878;3.50;"";""
2018;"Občanská demokratická strana";7;"Petružálek Radim Bc.";27;"ODS";"ODS";3681;2.59;1;""
2014;"Občanská demokratická strana";4;"Mazuch Jan PaedDr.";49;"ODS";"ODS";2438;3.24;4;*
2006;"Česká str.sociálně demokrat.";14;"Fifka Aleš Ing.";40;"ČSSD";"ČSSD";4478;2.63;8;""
2010;"Suverenita-blok J.Bobošíkové";1;"Křivka Pavel Ing. MSc.";50;"Suveren.";"BEZPP";870;4.49;"";""
2018;"ANO 2011";35;"Havrda Jiří";29;"ANO";"ANO";6188;2.39;22;""
2014;"TOP 09 a nezávislí";18;"Svoboda Vítězslav Ing.";55;"TOP 09";"TOP 09";1271;2.38;15;""
2010;"Zelená pro Pardubice (SZ, NK)";36;"Janoš Filip";23;"NK";"BEZPP";411;1.68;"";""
2018;"Sdružení pro Pardubice";30;"Kubík Luboš";54;"NK";"BEZPP";1347;2.25;27;""
2002;"Občanská demokratická strana";11;"Krejčíř Alexandr Ing. ";42;"ODS";"ODS";8980;2.64;11;*
2014;"Strana zelených";29;"Svobodová Olga";60;"Zelení";"BEZPP";548;2.29;"";""
2010;"Koalice pro Pardubice";17;"Habětínková Barbora";21;"Nestran.";"BEZPP";995;2.18;"";""
2010;"Česká str.sociálně demokrat.";20;"Vojtíšková Milena Ing.";48;"ČSSD";"ČSSD";6030;2.61;9;""
2010;"SDRUŽENÍ PRO PARDUBICE";9;"Cihlo Jaroslav Ing.";61;"NK";"BEZPP";5325;2.54;2;""
2010;"Věci veřejné (VV)";20;"Daněk Petr";34;"VV";"BEZPP";669;2.36;"";""
2002;"Komunistická str.Čech a Moravy";15;"Novotný Josef  ";60;"KSČM";"KSČM";3709;2.54;8;""
2006;"Česká str.sociálně demokrat.";34;"Kolář Otakar";80;"ČSSD";"ČSSD";3988;2.34;27;""
2010;"Koalice pro Pardubice";29;"Veselá Anna";44;"KDU-ČSL";"KDU-ČSL";943;2.07;"";""
2006;"Občanská demokratická strana";34;"Procházková Marie";59;"ODS";"ODS";8818;2.37;19;""
2010;"Koalice pro Pardubice";11;"Hejný Radek Mgr.";44;"Nestran.";"BEZPP";1456;3.20;"";""
2006;"Občanská demokratická strana";30;"Janoš Jiří";45;"ODS";"ODS";9277;2.49;15;""
2010;"Komunistická str.Čech a Moravy";17;"Horváth Julius";60;"KSČM";"BEZPP";2573;2.49;13;""
2002;"Česká str.sociálně demokrat.";18;"Ročárek Josef  ";60;"ČSSD";"ČSSD";4026;2.53;11;""
2002;"Křesť.demokr.unie-Čs.str.lid.";21;"Mikula Milan JUDr. ";77;"KDU-ČSL";"BEZPP";1144;2.37;19;""
2018;"Pardubice pro lidi";15;"Štěpánková Markéta Mgr.";46;"PPL";"BEZPP";1079;2.67;"";""
2018;"PRO Zdraví a Sport";36;"Doležel Milan";79;"PRO Zdraví";"BEZPP";113;1.67;"";""
2006;"Občanská demokratická strana";14;"Srbek Jiří";58;"ODS";"ODS";9995;2.68;14;*
2010;"Komunistická str.Čech a Moravy";21;"Melenec Aleš Bc.";53;"KSČM";"KSČM";2599;2.52;17;""
2010;"Strana Práv Občanů ZEMANOVCI";7;"Jandová Marie MUDr.";33;"SPOZ";"BEZPP";620;3.46;"";""
2002;"Křesť.demokr.unie-Čs.str.lid.";10;"Kohl Jan Ing. ";57;"KDU-ČSL";"KDU-ČSL";1283;2.66;9;""
2002;"Občanská demokratická strana";25;"Procházková Marie  ";55;"ODS";"ODS";8261;2.43;9;""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";1;"Stránský Zdeněk MUDr.";55;"ALTER";"ALTER";1015;7.43;"";""
2014;"Strana zelených";18;"Heidler Daniel Bc.";40;"Zelení";"BEZPP";569;2.38;"";""
2018;"Svob.a př.dem.-T.Okamura (SPD)";39;"Duben Martin";44;"SPD";"BEZPP";864;2.28;"";""
2010;"TOP 09 a nezávislí";22;"Svoboda Miroslav";57;"TOP 09";"BEZPP";1827;2.38;19;""
2010;"Komunistická str.Čech a Moravy";33;"Brabcová Marie";56;"KSČM";"KSČM";2559;2.48;29;""
2014;"Naše Pardubice, FairPlay,NK";23;"Elich Tomáš";36;"NK";"BEZPP";586;2.34;"";""
2014;"NEZÁVISLÍ";26;"Fottr Miroslav";52;"NEZ";"BEZPP";184;2.20;"";""
2002;"Naděje";28;"Nováková Soňa  ";24;"N";"BEZPP";675;2.26;"";""
2014;"Pard. pro lidi a Souk SsČR,PPL";9;"Fico Miloslav Ing.";46;"PPL";"PPL";689;2.49;"";""
2002;"Strana za životní jistoty";10;"Doležal Václav  ";68;"SŽJ";"SŽJ";123;3.56;"";""
2002;"Naděje";24;"Hlaváčová Stanislava  ";50;"N";"BEZPP";722;2.42;"";""
2002;"Občanská demokratická strana";31;"Oulický Martin  ";36;"ODS";"ODS";8084;2.38;15;""
2018;"Občanská demokratická strana";26;"Petružálek Jakub Mgr.";31;"ODS";"ODS";3513;2.47;19;""
2018;"Česká pirátská strana";26;"Svoboda Martin Mgr. et Mgr.";37;"Piráti";"BEZPP";2728;2.50;21;""
2018;"NAŠE PARDUBICE";16;"Jamborová Kateřina Mgr. Ph.D.";41;"NK";"BEZPP";1183;2.46;"";""
2010;"Česká str.sociálně demokrat.";9;"Křišťál Zdenek Ing.";55;"ČSSD";"ČSSD";5976;2.58;9;*
2018;"Komunistická str.Čech a Moravy";13;"Krupková Helena";53;"KSČM";"KSČM";1277;2.55;11;""
2014;"Sdružení pro Pard. - SNK ED,NK";26;"Hromádko Milan";64;"NK";"BEZPP";1922;2.36;22;""
2006;"Koal.pro Pard.,KDU-ČSL+Nestran";31;"Rajman Jiří MVDr.";74;"KDU-ČSL";"BEZPP";1307;2.51;29;""
2010;"Strana Práv Občanů ZEMANOVCI";34;"Stránská Markéta";21;"SPOZ";"BEZPP";359;2.00;"";""
2002;"Nezávislí Pardubičtí kandidáti";12;"Hel Karel Ing. CSc.";53;"SV SOS";"BEZPP";434;3.97;"";""
2010;"PERNŠTEJN -pol.str.ALTERNATIVA";14;"Jirák Jaromír";36;"ALTER";"BEZPP";431;3.15;"";""
2014;"Strana zelených";9;"Šubrtová Jana Bc. et Bc.";34;"Zelení";"BEZPP";675;2.82;"";""
2010;"Komunistická str.Čech a Moravy";28;"Háva Bohumír";58;"KSČM";"KSČM";2572;2.49;24;""
2014;"PATRIOTI PARDUBIC, PATRIOTI,NK";16;"Voldán Michal";38;"NK";"BEZPP";1108;2.41;15;""
2002;"Pravý Blok";1;"Pilař Zbyněk Ing. ";42;"PB";"PB";361;34.91;"";""
2018;"PRO Zdraví a Sport";30;"Setrmajerová Tereza";21;"PRO Zdraví";"BEZPP";143;2.11;"";""
2002;"Komunistická str.Čech a Moravy";39;"Hilbert Petr  ";60;"KSČM";"KSČM";3419;2.34;32;""
2018;"Občanská demokratická strana";13;"Dospěl Patrik Ing.";28;"ODS";"ODS";3569;2.51;6;""
2014;"Pard. pro lidi a Souk SsČR,PPL";15;"Vašina Martin Ing.";36;"PPL";"PPL";656;2.37;"";""
2002;"Sdružení pro Pardubice";4;"Koláček Michal Ing. ";38;"NK";"BEZPP";5644;3.82;4;*
2018;"Pardubáci společně";18;"Moravcová Klára Mgr.";40;"VČ";"BEZPP";2234;2.56;14;""
2010;"Česká str.sociálně demokrat.";10;"Rozinek Jiří Ing.";57;"ČSSD";"ČSSD";6249;2.70;10;*
2014;"Občanská demokratická strana";32;"Svobodová Gabriela Ing.";62;"ODS";"ODS";1733;2.30;28;""
2018;"PRO Zdraví a Sport";21;"Jánský Aleš";62;"PRO Zdraví";"BEZPP";165;2.43;"";""
2010;"Zelená pro Pardubice (SZ, NK)";15;"Almašiová Aneta Ing.";27;"SZ";"BEZPP";544;2.22;"";""
2002;"Nezávislí Pardubičtí kandidáti";10;"Vajsová Eva Ing. ";39;"SV SOS";"BEZPP";487;4.46;"";""
2010;"Komunistická str.Čech a Moravy";3;"Kmošťáková Valéria";48;"KSČM";"KSČM";2812;2.72;3;*
2010;"Komunistická str.Čech a Moravy";7;"Chládek Václav";57;"KSČM";"KSČM";2705;2.62;3;""
2010;"Koalice pro Pardubice";4;"Hubálková Marie Mgr.";44;"KDU-ČSL";"KDU-ČSL";1665;3.66;"";""
2018;"Komunistická str.Čech a Moravy";19;"Kabát David";35;"KSČM";"BEZPP";1267;2.53;17;""
2018;"Komunistická str.Čech a Moravy";30;"Rejl Josef JUDr.";70;"KSČM";"KSČM";1230;2.45;28;""
2010;"Občanská demokratická strana";22;"Hyhlík Tomáš Ing.";34;"ODS";"ODS";4062;2.50;15;""
2010;"Suverenita-blok J.Bobošíkové";37;"Zima Ivo";58;"Suveren.";"BEZPP";432;2.23;"";""
2002;"Občanská demokratická strana";38;"Petruška Daniel  ";30;"ODS";"ODS";7018;2.06;22;""
2002;"Česká str.sociálně demokrat.";35;"Nevole Josef  ";55;"ČSSD";"ČSSD";3580;2.25;28;""
2014;"DOMOV";11;"Talácko Josef";30;"BPI";"BEZPP";195;2.88;"";""
2006;"Sdružení pro Pardubice";14;"Sodomková Klára Mgr.";28;"NK";"BEZPP";5176;2.76;6;""
2018;"Pardubáci společně";11;"Kopecká Monika Mgr.";40;"VČ";"BEZPP";2483;2.85;5;""
2002;"Občanská demokratická strana";10;"Deml Jaroslav Ing. ";47;"ODS";"ODS";9088;2.67;10;*
2014;"Komunistická str.Čech a Moravy";14;"Jeřábková Květuše";50;"KSČM";"KSČM";1896;2.53;10;""
2014;"PARDUBÁCI,Sdružení ČSR, NK";9;"Zozuľák Martin Ing.";27;"ČSR";"BEZPP";1779;2.86;4;""
